Name,Term Type,Party,Start Date,End Date,State,District,Office Address,Phone,Last Name
A. Drew Ferguson IV,rep,Republican,2023-01-03,2025-01-03,GA,3,2239 Rayburn House Office Building Washington DC 20515-1003,202-225-5901,IV
Raja Krishnamoorthi,rep,Democrat,2023-01-03,2025-01-03,IL,8,2367 Rayburn House Office Building Washington DC 20515-1308,202-225-3711,Krishnamoorthi
Jim Banks,rep,Republican,2023-01-03,2025-01-03,IN,3,2418 Rayburn House Office Building Washington DC 20515-1403,202-225-4436,Banks
Clay Higgins,rep,Republican,2023-01-03,2025-01-03,LA,3,572 Cannon House Office Building Washington DC 20515-1803,202-225-2031,Higgins
Mike Johnson,rep,Republican,2023-01-03,2025-01-03,LA,4,568 Cannon House Office Building Washington DC 20515-1804,202-225-2777,Johnson
Jamie Raskin,rep,Democrat,2023-01-03,2025-01-03,MD,8,2242 Rayburn House Office Building Washington DC 20515-2008,202-225-5341,Raskin
Jack Bergman,rep,Republican,2023-01-03,2025-01-03,MI,1,566 Cannon House Office Building Washington DC 20515-2201,202-225-4735,Bergman
Don Bacon,rep,Republican,2023-01-03,2025-01-03,NE,2,2104 Rayburn House Office Building Washington DC 20515-2702,202-225-4155,Bacon
Josh Gottheimer,rep,Democrat,2023-01-03,2025-01-03,NJ,5,203 Cannon House Office Building Washington DC 20515-3005,202-225-4465,Gottheimer
Adriano Espaillat,rep,Democrat,2023-01-03,2025-01-03,NY,13,2332 Rayburn House Office Building Washington DC 20515-3213,202-225-4365,Espaillat
Brian K. Fitzpatrick,rep,Republican,2023-01-03,2025-01-03,PA,1,271 Cannon House Office Building Washington DC 20515-3801,202-225-4276,Fitzpatrick
Lloyd Smucker,rep,Republican,2023-01-03,2025-01-03,PA,11,302 Cannon House Office Building Washington DC 20515-3811,202-225-2411,Smucker
David Kustoff,rep,Republican,2023-01-03,2025-01-03,TN,8,560 Cannon House Office Building Washington DC 20515-4208,202-225-4714,Kustoff
Vicente Gonzalez,rep,Democrat,2023-01-03,2025-01-03,TX,34,154 Cannon House Office Building Washington DC 20515-4334,202-225-2531,Gonzalez
Jodey C. Arrington,rep,Republican,2023-01-03,2025-01-03,TX,19,1107 Longworth House Office Building Washington DC 20515-4319,202-225-4005,Arrington
Pramila Jayapal,rep,Democrat,2023-01-03,2025-01-03,WA,7,2346 Rayburn House Office Building Washington DC 20515-4707,202-225-3106,Jayapal
Ron Estes,rep,Republican,2023-01-03,2025-01-03,KS,4,2234 Rayburn House Office Building Washington DC 20515-1604,202-225-6216,Estes
Ralph Norman,rep,Republican,2023-01-03,2025-01-03,SC,5,569 Cannon House Office Building Washington DC 20515-4005,202-225-5501,Norman
Jimmy Gomez,rep,Democrat,2023-01-03,2025-01-03,CA,34,506 Cannon House Office Building Washington DC 20515-0534,202-225-6235,Gomez
John R. Curtis,rep,Republican,2023-01-03,2025-01-03,UT,3,2323 Rayburn House Office Building Washington DC 20515-4403,202-225-7751,Curtis
Debbie Lesko,rep,Republican,2023-01-03,2025-01-03,AZ,8,1214 Longworth House Office Building Washington DC 20515-0308,202-225-4576,Lesko
Michael Cloud,rep,Republican,2023-01-03,2025-01-03,TX,27,171 Cannon House Office Building Washington DC 20515-4327,202-225-7742,Cloud
Troy Balderson,rep,Republican,2023-01-03,2025-01-03,OH,12,2429 Rayburn House Office Building Washington DC 20515-3512,202-225-5355,Balderson
Kevin Hern,rep,Republican,2023-01-03,2025-01-03,OK,1,1019 Longworth House Office Building Washington DC 20515-3601,202-225-2211,Hern
Joseph D. Morelle,rep,Democrat,2023-01-03,2025-01-03,NY,25,570 Cannon House Office Building Washington DC 20515-3225,202-225-3615,Morelle
Mary Gay Scanlon,rep,Democrat,2023-01-03,2025-01-03,PA,5,1227 Longworth House Office Building Washington DC 20515-3805,202-225-2011,Scanlon
Susan Wild,rep,Democrat,2023-01-03,2025-01-03,PA,7,1027 Longworth House Office Building Washington DC 20515-3807,202-225-6411,Wild
Ed Case,rep,Democrat,2023-01-03,2025-01-03,HI,1,2210 Rayburn House Office Building Washington DC 20515-1101,202-225-2726,Case
Steven Horsford,rep,Democrat,2023-01-03,2025-01-03,NV,4,406 Cannon House Office Building Washington DC 20515-2804,202-225-9894,Horsford
Greg Stanton,rep,Democrat,2023-01-03,2025-01-03,AZ,4,207 Cannon House Office Building Washington DC 20515-0304,202-225-9888,Stanton
Josh Harder,rep,Democrat,2023-01-03,2025-01-03,CA,9,209 Cannon House Office Building Washington DC 20515-0509,202-225-4540,Harder
Katie Porter,rep,Democrat,2023-01-03,2025-01-03,CA,47,1233 Longworth House Office Building Washington DC 20515-0547,202-225-5611,Porter
Mike Levin,rep,Democrat,2023-01-03,2025-01-03,CA,49,2352 Rayburn House Office Building Washington DC 20515-0549,202-225-3906,Levin
Joe Neguse,rep,Democrat,2023-01-03,2025-01-03,CO,2,2400 Rayburn House Office Building Washington DC 20515-0602,202-225-2161,Neguse
Jason Crow,rep,Democrat,2023-01-03,2025-01-03,CO,6,1323 Longworth House Office Building Washington DC 20515-0606,202-225-7882,Crow
Jahana Hayes,rep,Democrat,2023-01-03,2025-01-03,CT,5,2458 Rayburn House Office Building Washington DC 20515-0705,202-225-4476,Hayes
Michael Waltz,rep,Republican,2023-01-03,2025-01-03,FL,6,244 Cannon House Office Building Washington DC 20515-0906,202-225-2706,Waltz
W. Gregory Steube,rep,Republican,2023-01-03,2025-01-03,FL,17,2457 Rayburn House Office Building Washington DC 20515-0917,202-225-5792,Steube
Lucy McBath,rep,Democrat,2023-01-03,2025-01-03,GA,7,2246 Rayburn House Office Building Washington DC 20515-1007,202-225-4501,McBath
Russ Fulcher,rep,Republican,2023-01-03,2025-01-03,ID,1,1514 Longworth House Office Building Washington DC 20515-1201,202-225-6611,Fulcher
"Jesús G. ""Chuy"" García",rep,Democrat,2023-01-03,2025-01-03,IL,4,1519 Longworth House Office Building Washington DC 20515-1304,202-225-8203,García
Sean Casten,rep,Democrat,2023-01-03,2025-01-03,IL,6,2440 Rayburn House Office Building Washington DC 20515-1306,202-225-4561,Casten
Lauren Underwood,rep,Democrat,2023-01-03,2025-01-03,IL,14,1410 Longworth House Office Building Washington DC 20515-1314,202-225-2976,Underwood
James R. Baird,rep,Republican,2023-01-03,2025-01-03,IN,4,2303 Rayburn House Office Building Washington DC 20515-1404,202-225-5037,Baird
Greg Pence,rep,Republican,2023-01-03,2025-01-03,IN,6,404 Cannon House Office Building Washington DC 20515-1406,202-225-3021,Pence
Sharice Davids,rep,Democrat,2023-01-03,2025-01-03,KS,3,2435 Rayburn House Office Building Washington DC 20515-1603,202-225-2865,Davids
Lori Trahan,rep,Democrat,2023-01-03,2025-01-03,MA,3,2439 Rayburn House Office Building Washington DC 20515-2103,202-225-3411,Trahan
Ayanna Pressley,rep,Democrat,2023-01-03,2025-01-03,MA,7,402 Cannon House Office Building Washington DC 20515-2107,202-225-5111,Pressley
David J. Trone,rep,Democrat,2023-01-03,2025-01-03,MD,6,2404 Rayburn House Office Building Washington DC 20515-2006,202-225-2721,Trone
Elissa Slotkin,rep,Democrat,2023-01-03,2025-01-03,MI,7,2245 Rayburn House Office Building Washington DC 20515-2207,202-225-4872,Slotkin
Haley M. Stevens,rep,Democrat,2023-01-03,2025-01-03,MI,11,2411 Rayburn House Office Building Washington DC 20515-2211,202-225-8171,Stevens
Rashida Tlaib,rep,Democrat,2023-01-03,2025-01-03,MI,12,2438 Rayburn House Office Building Washington DC 20515-2212,202-225-5126,Tlaib
Angie Craig,rep,Democrat,2023-01-03,2025-01-03,MN,2,2442 Rayburn House Office Building Washington DC 20515-2302,202-225-2271,Craig
Dean Phillips,rep,Democrat,2023-01-03,2025-01-03,MN,3,2452 Rayburn House Office Building Washington DC 20515-2303,202-225-2871,Phillips
Ilhan Omar,rep,Democrat,2023-01-03,2025-01-03,MN,5,1730 Longworth House Office Building Washington DC 20515-2305,202-225-4755,Omar
Pete Stauber,rep,Republican,2023-01-03,2025-01-03,MN,8,145 Cannon House Office Building Washington DC 20515-2308,202-225-6211,Stauber
Michael Guest,rep,Republican,2023-01-03,2025-01-03,MS,3,450 Cannon House Office Building Washington DC 20515-2403,202-225-5031,Guest
Kelly Armstrong,rep,Republican,2023-01-03,2025-01-03,ND,0,2235 Rayburn House Office Building Washington DC 20515-3400,202-225-2611,Armstrong
Chris Pappas,rep,Democrat,2023-01-03,2025-01-03,NH,1,452 Cannon House Office Building Washington DC 20515-2901,202-225-5456,Pappas
Jefferson Van Drew,rep,Republican,2023-01-03,2025-01-03,NJ,2,2447 Rayburn House Office Building Washington DC 20515-3002,202-225-6572,Drew
Andy Kim,rep,Democrat,2023-01-03,2025-01-03,NJ,3,2444 Rayburn House Office Building Washington DC 20515-3003,202-225-4765,Kim
Mikie Sherrill,rep,Democrat,2023-01-03,2025-01-03,NJ,11,1427 Longworth House Office Building Washington DC 20515-3011,202-225-5034,Sherrill
Susie Lee,rep,Democrat,2023-01-03,2025-01-03,NV,3,365 Cannon House Office Building Washington DC 20515-2803,202-225-3252,Lee
Alexandria Ocasio-Cortez,rep,Democrat,2023-01-03,2025-01-03,NY,14,250 Cannon House Office Building Washington DC 20515-3214,202-225-3965,Ocasio-Cortez
Madeleine Dean,rep,Democrat,2023-01-03,2025-01-03,PA,4,150 Cannon House Office Building Washington DC 20515-3804,202-225-4731,Dean
Chrissy Houlahan,rep,Democrat,2023-01-03,2025-01-03,PA,6,1727 Longworth House Office Building Washington DC 20515-3806,202-225-4315,Houlahan
Daniel Meuser,rep,Republican,2023-01-03,2025-01-03,PA,9,350 Cannon House Office Building Washington DC 20515-3809,202-225-6511,Meuser
John Joyce,rep,Republican,2023-01-03,2025-01-03,PA,13,152 Cannon House Office Building Washington DC 20515-3813,202-225-2431,Joyce
Guy Reschenthaler,rep,Republican,2023-01-03,2025-01-03,PA,14,342 Cannon House Office Building Washington DC 20515-3814,202-225-2065,Reschenthaler
William R. Timmons IV,rep,Republican,2023-01-03,2025-01-03,SC,4,267 Cannon House Office Building Washington DC 20515-4004,202-225-6030,IV
Dusty Johnson,rep,Republican,2023-01-03,2025-01-03,SD,0,1714 Longworth House Office Building Washington DC 20515-4100,202-225-2801,Johnson
Tim Burchett,rep,Republican,2023-01-03,2025-01-03,TN,2,1122 Longworth House Office Building Washington DC 20515-4202,202-225-5435,Burchett
John W. Rose,rep,Republican,2023-01-03,2025-01-03,TN,6,2238 Rayburn House Office Building Washington DC 20515-4206,202-225-4231,Rose
Mark E. Green,rep,Republican,2023-01-03,2025-01-03,TN,7,2446 Rayburn House Office Building Washington DC 20515-4207,202-225-2811,Green
Dan Crenshaw,rep,Republican,2023-01-03,2025-01-03,TX,2,248 Cannon House Office Building Washington DC 20515-4302,202-225-6565,Crenshaw
Lance Gooden,rep,Republican,2023-01-03,2025-01-03,TX,5,2431 Rayburn House Office Building Washington DC 20515-4305,202-225-3484,Gooden
Lizzie Fletcher,rep,Democrat,2023-01-03,2025-01-03,TX,7,346 Cannon House Office Building Washington DC 20515-4307,202-225-2571,Fletcher
Veronica Escobar,rep,Democrat,2023-01-03,2025-01-03,TX,16,2448 Rayburn House Office Building Washington DC 20515-4316,202-225-4831,Escobar
Chip Roy,rep,Republican,2023-01-03,2025-01-03,TX,21,103 Cannon House Office Building Washington DC 20515-4321,202-225-4236,Roy
Sylvia R. Garcia,rep,Democrat,2023-01-03,2025-01-03,TX,29,2419 Rayburn House Office Building Washington DC 20515-4329,202-225-1688,Garcia
Colin Z. Allred,rep,Democrat,2023-01-03,2025-01-03,TX,32,348 Cannon House Office Building Washington DC 20515-4332,202-225-2231,Allred
Ben Cline,rep,Republican,2023-01-03,2025-01-03,VA,6,2443 Rayburn House Office Building Washington DC 20515-4606,202-225-5431,Cline
Abigail Davis Spanberger,rep,Democrat,2023-01-03,2025-01-03,VA,7,562 Cannon House Office Building Washington DC 20515-4607,202-225-2815,Spanberger
Jennifer Wexton,rep,Democrat,2023-01-03,2025-01-03,VA,10,1210 Longworth House Office Building Washington DC 20515-4610,202-225-5136,Wexton
Kim Schrier,rep,Democrat,2023-01-03,2025-01-03,WA,8,1110 Longworth House Office Building Washington DC 20515-4708,202-225-7761,Schrier
Bryan Steil,rep,Republican,2023-01-03,2025-01-03,WI,1,1526 Longworth House Office Building Washington DC 20515-4901,202-225-3031,Steil
Carol D. Miller,rep,Republican,2023-01-03,2025-01-03,WV,1,465 Cannon House Office Building Washington DC 20515-4801,202-225-3452,Miller
Jared F. Golden,rep,Democrat,2023-01-03,2025-01-03,ME,2,1710 Longworth House Office Building Washington DC 20515-1902,202-225-6306,Golden
Dan Bishop,rep,Republican,2023-01-03,2025-01-03,NC,8,2459 Rayburn House Office Building Washington DC 20515-3308,202-225-1976,Bishop
Gregory F. Murphy,rep,Republican,2023-01-03,2025-01-03,NC,3,407 Cannon House Office Building Washington DC 20515-3303,202-225-3415,Murphy
Kweisi Mfume,rep,Democrat,2023-01-03,2025-01-03,MD,7,2263 Rayburn House Office Building Washington DC 20515-2007,202-225-4741,Mfume
Thomas P. Tiffany,rep,Republican,2023-01-03,2025-01-03,WI,7,451 Cannon House Office Building Washington DC 20515-4907,202-225-3365,Tiffany
Mike Garcia,rep,Republican,2023-01-03,2025-01-03,CA,27,144 Cannon House Office Building Washington DC 20515-0527,202-225-1956,Garcia
Darrell Issa,rep,Republican,2023-01-03,2025-01-03,CA,48,2108 Rayburn House Office Building Washington DC 20515-0548,202-225-5672,Issa
Pete Sessions,rep,Republican,2023-01-03,2025-01-03,TX,17,2204 Rayburn House Office Building Washington DC 20515-4317,202-225-6105,Sessions
David G. Valadao,rep,Republican,2023-01-03,2025-01-03,CA,22,2465 Rayburn House Office Building Washington DC 20515-0522,202-225-4695,Valadao
Jerry L. Carl,rep,Republican,2023-01-03,2025-01-03,AL,1,1330 Longworth House Office Building Washington DC 20515-0101,202-225-4931,Carl
Barry Moore,rep,Republican,2023-01-03,2025-01-03,AL,2,1504 Longworth House Office Building Washington DC 20515-0102,202-225-2901,Moore
Jay Obernolte,rep,Republican,2023-01-03,2025-01-03,CA,23,1029 Longworth House Office Building Washington DC 20515-0523,202-225-5861,Obernolte
Young Kim,rep,Republican,2023-01-03,2025-01-03,CA,40,1306 Longworth House Office Building Washington DC 20515-0540,202-225-4111,Kim
Michelle Steel,rep,Republican,2023-01-03,2025-01-03,CA,45,1127 Longworth House Office Building Washington DC 20515-0545,202-225-2415,Steel
Sara Jacobs,rep,Democrat,2023-01-03,2025-01-03,CA,51,1314 Longworth House Office Building Washington DC 20515-0551,202-225-2040,Jacobs
Lauren Boebert,rep,Republican,2023-01-03,2025-01-03,CO,3,1713 Longworth House Office Building Washington DC 20515-0603,202-225-4761,Boebert
Kat Cammack,rep,Republican,2023-01-03,2025-01-03,FL,3,2421 Rayburn House Office Building Washington DC 20515-0903,202-225-5744,Cammack
Scott Franklin,rep,Republican,2023-01-03,2025-01-03,FL,18,249 Cannon House Office Building Washington DC 20515-0918,202-225-1252,Franklin
Byron Donalds,rep,Republican,2023-01-03,2025-01-03,FL,19,1719 Longworth House Office Building Washington DC 20515-0919,202-225-2536,Donalds
Carlos A. Gimenez,rep,Republican,2023-01-03,2025-01-03,FL,28,448 Cannon House Office Building Washington DC 20515-0001,202-225-2778,Gimenez
Maria Elvira Salazar,rep,Republican,2023-01-03,2025-01-03,FL,27,2162 Rayburn House Office Building Washington DC 20515-0927,202-225-3931,Salazar
Nikema Williams,rep,Democrat,2023-01-03,2025-01-03,GA,5,1406 Longworth House Office Building Washington DC 20515-1005,202-225-3801,Williams
Andrew S. Clyde,rep,Republican,2023-01-03,2025-01-03,GA,9,445 Cannon House Office Building Washington DC 20515-1009,202-225-9893,Clyde
Marjorie Taylor Greene,rep,Republican,2023-01-03,2025-01-03,GA,14,403 Cannon House Office Building Washington DC 20515-1014,202-225-5211,Greene
Ashley Hinson,rep,Republican,2023-01-03,2025-01-03,IA,2,1717 Longworth House Office Building Washington DC 20515-1502,202-225-2911,Hinson
Mariannette Miller-Meeks,rep,Republican,2023-01-03,2025-01-03,IA,1,1034 Longworth House Office Building Washington DC 20515-1501,202-225-6576,Miller-Meeks
Randy Feenstra,rep,Republican,2023-01-03,2025-01-03,IA,4,1440 Longworth House Office Building Washington DC 20515-1504,202-225-4426,Feenstra
Mary E. Miller,rep,Republican,2023-01-03,2025-01-03,IL,15,1740 Longworth House Office Building Washington DC 20515-1315,202-225-5271,Miller
Frank J. Mrvan,rep,Democrat,2023-01-03,2025-01-03,IN,1,1607 Longworth House Office Building Washington DC 20515-1401,202-225-2461,Mrvan
Victoria Spartz,rep,Republican,2023-01-03,2025-01-03,IN,5,1609 Longworth House Office Building Washington DC 20515-1405,202-225-2276,Spartz
Tracey Mann,rep,Republican,2023-01-03,2025-01-03,KS,1,344 Cannon House Office Building Washington DC 20515-1601,202-225-2715,Mann
Jake LaTurner,rep,Republican,2023-01-03,2025-01-03,KS,2,2441 Rayburn House Office Building Washington DC 20515-1602,202-225-6601,LaTurner
Jake Auchincloss,rep,Democrat,2023-01-03,2025-01-03,MA,4,1524 Longworth House Office Building Washington DC 20515-2104,202-225-5931,Auchincloss
Lisa C. McClain,rep,Republican,2023-01-03,2025-01-03,MI,9,444 Cannon House Office Building Washington DC 20515-2209,202-225-2106,McClain
Michelle Fischbach,rep,Republican,2023-01-03,2025-01-03,MN,7,1004 Longworth House Office Building Washington DC 20515-2307,202-225-2165,Fischbach
Cori Bush,rep,Democrat,2023-01-03,2025-01-03,MO,1,2463 Rayburn House Office Building Washington DC 20515-2501,202-225-2406,Bush
"Matthew M. Rosendale, Sr.",rep,Republican,2023-01-03,2025-01-03,MT,2,1023 Longworth House Office Building Washington DC 20515-0001,202-225-3211,Sr.
Deborah K. Ross,rep,Democrat,2023-01-03,2025-01-03,NC,2,1221 Longworth House Office Building Washington DC 20515-3302,202-225-3032,Ross
Kathy E. Manning,rep,Democrat,2023-01-03,2025-01-03,NC,6,307 Cannon House Office Building Washington DC 20515-3306,202-225-3065,Manning
Teresa Leger Fernandez,rep,Democrat,2023-01-03,2025-01-03,NM,3,1510 Longworth House Office Building Washington DC 20515-3103,202-225-6190,Fernandez
Andrew R. Garbarino,rep,Republican,2023-01-03,2025-01-03,NY,2,2344 Rayburn House Office Building Washington DC 20515-3202,202-225-7896,Garbarino
Nicole Malliotakis,rep,Republican,2023-01-03,2025-01-03,NY,11,351 Cannon House Office Building Washington DC 20515-3211,202-225-3371,Malliotakis
Ritchie Torres,rep,Democrat,2023-01-03,2025-01-03,NY,15,1414 Longworth House Office Building Washington DC 20515-3215,202-225-4361,Torres
Jamaal Bowman,rep,Democrat,2023-01-03,2025-01-03,NY,16,345 Cannon House Office Building Washington DC 20515-3216,202-225-2464,Bowman
Stephanie I. Bice,rep,Republican,2023-01-03,2025-01-03,OK,5,2437 Rayburn House Office Building Washington DC 20515-3605,202-225-2132,Bice
Cliff Bentz,rep,Republican,2023-01-03,2025-01-03,OR,2,409 Cannon House Office Building Washington DC 20515-3702,202-225-6730,Bentz
Nancy Mace,rep,Republican,2023-01-03,2025-01-03,SC,1,1728 Longworth House Office Building Washington DC 20515-4001,202-225-3176,Mace
Diana Harshbarger,rep,Republican,2023-01-03,2025-01-03,TN,1,167 Cannon House Office Building Washington DC 20515-4201,202-225-6356,Harshbarger
Pat Fallon,rep,Republican,2023-01-03,2025-01-03,TX,4,2416 Rayburn House Office Building Washington DC 20515-4304,202-225-6673,Fallon
August Pfluger,rep,Republican,2023-01-03,2025-01-03,TX,11,1124 Longworth House Office Building Washington DC 20515-4311,202-225-3605,Pfluger
Ronny Jackson,rep,Republican,2023-01-03,2025-01-03,TX,13,446 Cannon House Office Building Washington DC 20515-4313,202-225-3706,Jackson
Troy E. Nehls,rep,Republican,2023-01-03,2025-01-03,TX,22,1104 Longworth House Office Building Washington DC 20515-4322,202-225-5951,Nehls
Tony Gonzales,rep,Republican,2023-01-03,2025-01-03,TX,23,2244 Rayburn House Office Building Washington DC 20515-4323,202-225-4511,Gonzales
Beth Van Duyne,rep,Republican,2023-01-03,2025-01-03,TX,24,1725 Longworth House Office Building Washington DC 20515-4324,202-225-6605,Duyne
Blake D. Moore,rep,Republican,2023-01-03,2025-01-03,UT,1,1131 Longworth House Office Building Washington DC 20515-4401,202-225-0453,Moore
Burgess Owens,rep,Republican,2023-01-03,2025-01-03,UT,4,309 Cannon House Office Building Washington DC 20515-4404,202-225-3011,Owens
Bob Good,rep,Republican,2023-01-03,2025-01-03,VA,5,461 Cannon House Office Building Washington DC 20515-4605,202-225-4711,Good
Marilyn Strickland,rep,Democrat,2023-01-03,2025-01-03,WA,10,1708 Longworth House Office Building Washington DC 20515-4710,202-225-9740,Strickland
Scott Fitzgerald,rep,Republican,2023-01-03,2025-01-03,WI,5,1507 Longworth House Office Building Washington DC 20515-4905,202-225-5101,Fitzgerald
Claudia Tenney,rep,Republican,2023-01-03,2025-01-03,NY,24,2349 Rayburn House Office Building Washington DC 20515-3224,202-225-3665,Tenney
Julia Letlow,rep,Republican,2023-01-03,2025-01-03,LA,5,142 Cannon House Office Building Washington DC 20515-1805,202-225-8490,Letlow
Troy A. Carter,rep,Democrat,2023-01-03,2025-01-03,LA,2,442 Cannon House Office Building Washington DC 20515-1802,202-225-6636,Carter
Melanie A. Stansbury,rep,Democrat,2023-01-03,2025-01-03,NM,1,1421 Longworth House Office Building Washington DC 20515-3101,202-225-6316,Stansbury
Jake Ellzey,rep,Republican,2023-01-03,2025-01-03,TX,6,1721 Longworth House Office Building Washington DC 20515-4306,202-225-2002,Ellzey
Shontel M. Brown,rep,Democrat,2023-01-03,2025-01-03,OH,11,449 Cannon House Office Building Washington DC 20515-3511,202-225-7032,Brown
Mike Carey,rep,Republican,2023-01-03,2025-01-03,OH,15,1433 Longworth House Office Building Washington DC 20515-3515,202-225-2015,Carey
Sheila Cherfilus-McCormick,rep,Democrat,2023-01-03,2025-01-03,FL,20,242 Cannon House Office Building Washington DC 20515-0920,202-225-1313,Cherfilus-McCormick
Mike Flood,rep,Republican,2023-01-03,2025-01-03,NE,1,343 Cannon House Office Building Washington DC 20515-2701,202-225-4806,Flood
Brad Finstad,rep,Republican,2023-01-03,2025-01-03,MN,1,1605 Longworth House Office Building Washington DC 20515-2301,202-225-2472,Finstad
Mary Sattler Peltola,rep,Democrat,2023-01-03,2025-01-03,AK,0,153 Cannon House Office Building Washington DC 20515-0200,202-225-5765,Peltola
Patrick Ryan,rep,Democrat,2023-01-03,2025-01-03,NY,18,1030 Longworth House Office Building Washington DC 20515-3218,202-225-5614,Ryan
Rudy Yakym III,rep,Republican,2023-01-03,2025-01-03,IN,2,349 Cannon House Office Building Washington DC 20515-1402,202-225-3915,III
Ryan K. Zinke,rep,Republican,2023-01-03,2025-01-03,MT,1,512 Cannon House Office Building Washington DC 20515-2600,202-225-5628,Zinke
Dale W. Strong,rep,Republican,2023-01-03,2025-01-03,AL,5,1337 Longworth House Office Building Washington DC 20515-0105,202-225-4801,Strong
Elijah Crane,rep,Republican,2023-01-03,2025-01-03,AZ,2,1229 Longworth House Office Building Washington DC 20515-0302,202-225-3361,Crane
Juan Ciscomani,rep,Republican,2023-01-03,2025-01-03,AZ,6,1429 Longworth House Office Building Washington DC 20515-0306,202-225-2542,Ciscomani
Kevin Kiley,rep,Republican,2023-01-03,2025-01-03,CA,3,1032 Longworth House Office Building Washington DC 20515-0503,202-225-2523,Kiley
John S. Duarte,rep,Republican,2023-01-03,2025-01-03,CA,13,1535 Longworth House Office Building Washington DC 20515-0513,202-225-1947,Duarte
Kevin Mullin,rep,Democrat,2023-01-03,2025-01-03,CA,15,1404 Longworth House Office Building Washington DC 20515-0515,202-225-3531,Mullin
Sydney Kamlager-Dove,rep,Democrat,2023-01-03,2025-01-03,CA,37,1419 Longworth House Office Building Washington DC 20515-0537,202-225-7084,Kamlager-Dove
Robert Garcia,rep,Democrat,2023-01-03,2025-01-03,CA,42,1305 Longworth House Office Building Washington DC 20515-0542,202-225-7924,Garcia
Brittany Pettersen,rep,Democrat,2023-01-03,2025-01-03,CO,7,1230 Longworth House Office Building Washington DC 20515-0607,202-225-2645,Pettersen
Yadira Caraveo,rep,Democrat,2023-01-03,2025-01-03,CO,8,1024 Longworth House Office Building Washington DC 20515-0001,202-225-5625,Caraveo
Aaron Bean,rep,Republican,2023-01-03,2025-01-03,FL,4,1239 Longworth House Office Building Washington DC 20515-0904,202-225-0123,Bean
Cory Mills,rep,Republican,2023-01-03,2025-01-03,FL,7,1237 Longworth House Office Building Washington DC 20515-0907,202-225-4035,Mills
Maxwell Frost,rep,Democrat,2023-01-03,2025-01-03,FL,10,1224 Longworth House Office Building Washington DC 20515-0910,202-225-2176,Frost
Anna Paulina Luna,rep,Republican,2023-01-03,2025-01-03,FL,13,1017 Longworth House Office Building Washington DC 20515-0913,202-225-5961,Luna
Laurel M. Lee,rep,Republican,2023-01-03,2025-01-03,FL,15,1118 Longworth House Office Building Washington DC 20515-0915,202-225-5626,Lee
Jared Moskowitz,rep,Democrat,2023-01-03,2025-01-03,FL,23,1130 Longworth House Office Building Washington DC 20515-0923,202-225-3001,Moskowitz
Richard McCormick,rep,Republican,2023-01-03,2025-01-03,GA,6,1213 Longworth House Office Building Washington DC 20515-1006,202-225-4272,McCormick
Mike Collins,rep,Republican,2023-01-03,2025-01-03,GA,10,1223 Longworth House Office Building Washington DC 20515-1010,202-225-4101,Collins
Jill N. Tokuda,rep,Democrat,2023-01-03,2025-01-03,HI,2,1005 Longworth House Office Building Washington DC 20515-1102,202-225-4906,Tokuda
Zachary Nunn,rep,Republican,2023-01-03,2025-01-03,IA,3,1232 Longworth House Office Building Washington DC 20515-1503,202-225-5476,Nunn
Jonathan L. Jackson,rep,Democrat,2023-01-03,2025-01-03,IL,1,1641 Longworth House Office Building Washington DC 20515-1301,202-225-4372,Jackson
Delia C. Ramirez,rep,Democrat,2023-01-03,2025-01-03,IL,3,1523 Longworth House Office Building Washington DC 20515-1303,202-225-5701,Ramirez
Nikki Budzinski,rep,Democrat,2023-01-03,2025-01-03,IL,13,1009 Longworth House Office Building Washington DC 20515-1313,202-225-2371,Budzinski
Eric Sorensen,rep,Democrat,2023-01-03,2025-01-03,IL,17,1205 Longworth House Office Building Washington DC 20515-1317,202-225-5905,Sorensen
Erin Houchin,rep,Republican,2023-01-03,2025-01-03,IN,9,1632 Longworth House Office Building Washington DC 20515-1409,202-225-5315,Houchin
Morgan McGarvey,rep,Democrat,2023-01-03,2025-01-03,KY,3,1527 Longworth House Office Building Washington DC 20515-1703,202-225-5401,McGarvey
Glenn Ivey,rep,Democrat,2023-01-03,2025-01-03,MD,4,1529 Longworth House Office Building Washington DC 20515-2004,202-225-8699,Ivey
Hillary J. Scholten,rep,Democrat,2023-01-03,2025-01-03,MI,3,1317 Longworth House Office Building Washington DC 20515-2203,202-225-3831,Scholten
John James,rep,Republican,2023-01-03,2025-01-03,MI,10,1319 Longworth House Office Building Washington DC 20515-2210,202-225-4961,James
Shri Thanedar,rep,Democrat,2023-01-03,2025-01-03,MI,13,1039 Longworth House Office Building Washington DC 20515-2213,202-225-5802,Thanedar
Mark Alford,rep,Republican,2023-01-03,2025-01-03,MO,4,1516 Longworth House Office Building Washington DC 20515-2504,202-225-2876,Alford
Eric Burlison,rep,Republican,2023-01-03,2025-01-03,MO,7,1108 Longworth House Office Building Washington DC 20515-2507,202-225-6536,Burlison
Mike Ezell,rep,Republican,2023-01-03,2025-01-03,MS,4,443 Cannon House Office Building Washington DC 20515-2404,202-225-5772,Ezell
Donald G. Davis,rep,Democrat,2023-01-03,2025-01-03,NC,1,1123 Longworth House Office Building Washington DC 20515-3301,202-225-3101,Davis
