,Bill Number,Representative,Party,State,Vote,link,Full Name,Phone Number
3256,H. R. 6513,Ramirez,Democratic,Illinois,Yea,https://clerk.house.gov/Members/R000617,Delia C. Ramirez, (202) 225-5701
3136,H. R. 6513,Perez,Democratic,Washington,Yea,https://clerk.house.gov/Members/G000600,Marie Gluesenkamp Perez, (202) 225-3536
4196,H. R. 6513,Wenstrup,Republican,Ohio,Yea,https://clerk.house.gov/Members/W000815,Brad R. Wenstrup, (202) 225-3164
3266,H. R. 6513,Raskin,Democratic,Maryland,Yea,https://clerk.house.gov/Members/R000606,Jamie Raskin, (202) 225-5341
896,H. R. 6513,Cuellar,Democratic,Texas,Yea,https://clerk.house.gov/Members/C001063,Henry Cuellar, (202) 225-1640
876,H. R. 6513,Crockett,Democratic,Texas,Yea,https://clerk.house.gov/Members/C001130,Jasmine Crockett, (202) 225-8885
106,H. R. 6513,Auchincloss,Democratic,Massachusetts,Yea,https://clerk.house.gov/Members/A000148,Jake Auchincloss, (202) 225-5931
946,H. R. 6513,Davis (IL),Democratic,Illinois,Yea,https://clerk.house.gov/Members/D000096,Danny K. Davis, (202) 225-5006
3126,H. R. 6513,Pence,Republican,Indiana,Yea,https://clerk.house.gov/Members/P000615,Greg Pence, (202) 225-3021
996,H. R. 6513,DeLauro,Democratic,Connecticut,Yea,https://clerk.house.gov/Members/D000216,Rosa L. DeLauro, (202) 225-3661
3276,H. R. 6513,Reschenthaler,Republican,Pennsylvania,Yea,https://clerk.house.gov/Members/R000610,Guy Reschenthaler, (202) 225-2065
866,H. R. 6513,Crenshaw,Republican,Texas,Yea,https://clerk.house.gov/Members/C001120,Dan Crenshaw, (202) 225-6565
4286,H. R. 6513,Wittman,Republican,Virginia,Not Voting,https://clerk.house.gov/Members/W000804,Robert J. Wittman, (202) 225-4261
3286,H. R. 6513,Rodgers (WA),Republican,Washington,Yea,https://clerk.house.gov/Members/M001159,Cathy McMorris Rodgers, (202) 225-2006
26,H. R. 6513,Aguilar,Democratic,California,Yea,https://clerk.house.gov/Members/A000371,Pete Aguilar, (202) 225-3201
4186,H. R. 6513,Webster (FL),Republican,Florida,Yea,https://clerk.house.gov/Members/W000806,Daniel Webster, (202) 225-1002
116,H. R. 6513,Babin,Republican,Texas,Yea,https://clerk.house.gov/Members/B001291,Brian Babin, (202) 225-1555
2106,H. R. 6513,Khanna,Democratic,California,Yea,https://clerk.house.gov/Members/K000389,Ro Khanna, (202) 225-2631
986,H. R. 6513,DeGette,Democratic,Colorado,Yea,https://clerk.house.gov/Members/D000197,Diana DeGette, (202) 225-4431
1956,H. R. 6513,Jeffries,Democratic,New York,Yea,https://clerk.house.gov/Members/J000294,Hakeem S. Jeffries, (202) 225-5936
3156,H. R. 6513,Peters,Democratic,California,Yea,https://clerk.house.gov/Members/P000608,Scott H. Peters, (202) 225-0508
3236,H. R. 6513,Pressley,Democratic,Massachusetts,Yea,https://clerk.house.gov/Members/P000617,Ayanna Pressley, (202) 225-5111
4246,H. R. 6513,Williams (NY),Republican,New York,Yea,https://clerk.house.gov/Members/W000828,Brandon Williams, (202) 225-3701
66,H. R. 6513,Amo,Democratic,Rhode Island,Yea,https://clerk.house.gov/Members/A000380,Gabe Amo, (202) 225-4911
936,H. R. 6513,Davidson,Republican,Ohio,Yea,https://clerk.house.gov/Members/D000626,Warren Davidson, (202) 225-6205
3196,H. R. 6513,Pingree,Democratic,Maine,Yea,https://clerk.house.gov/Members/P000597,Chellie Pingree, (202) 225-6116
56,H. R. 6513,Allred,Democratic,Texas,Yea,https://clerk.house.gov/Members/A000376,Colin Z. Allred, (202) 225-2231
4236,H. R. 6513,Williams (GA),Democratic,Georgia,Yea,https://clerk.house.gov/Members/W000788,Nikema Williams, (202) 225-3801
3176,H. R. 6513,Pfluger,Republican,Texas,Yea,https://clerk.house.gov/Members/P000048,August Pfluger, (202) 225-3605
76,H. R. 6513,Amodei,Republican,Nevada,Yea,https://clerk.house.gov/Members/A000369,Mark E. Amodei, (202) 225-6155
3206,H. R. 6513,Pocan,Democratic,Wisconsin,Yea,https://clerk.house.gov/Members/P000607,Mark Pocan, (202) 225-2906
956,H. R. 6513,Davis (NC),Democratic,North Carolina,Yea,https://clerk.house.gov/Members/D000230,Donald G. Davis, (202) 225-3101
926,H. R. 6513,Davids (KS),Democratic,Kansas,Yea,https://clerk.house.gov/Members/D000629,Sharice Davids, (202) 225-2865
1846,H. R. 6513,Huffman,Democratic,California,Not Voting,https://clerk.house.gov/Members/H001068,Jared Huffman, (202) 225-5161
4256,H. R. 6513,Williams (TX),Republican,Texas,Yea,https://clerk.house.gov/Members/W000816,Roger Williams, (202) 225-9896
4226,H. R. 6513,Wild,Democratic,Pennsylvania,Yea,https://clerk.house.gov/Members/W000826,Susan Wild, (202) 225-6411
156,H. R. 6513,Balint,Democratic,Vermont,Yea,https://clerk.house.gov/Members/B001318,Becca Balint, (202) 225-4115
3216,H. R. 6513,Porter,Democratic,California,Yea,https://clerk.house.gov/Members/P000618,Katie Porter, (202) 225-5611
1976,H. R. 6513,Johnson (LA),Republican,Louisiana,Yea,https://clerk.house.gov/Members/J000299,Mike Johnson, (202) 225-2777
3166,H. R. 6513,Pettersen,Democratic,Colorado,Yea,https://clerk.house.gov/Members/P000620,Brittany Pettersen, (202) 225-2645
916,H. R. 6513,D'Esposito,Republican,New York,Yea,https://clerk.house.gov/Members/D000632,Anthony D'Esposito, (202) 225-5516
2096,H. R. 6513,Kennedy,Democratic,New York,Yea,https://clerk.house.gov/Members/K000402,Timothy M. Kennedy, (202) 225-3306
4216,H. R. 6513,Wexton,Democratic,Virginia,Yea,https://clerk.house.gov/Members/W000825,Jennifer Wexton, (202) 225-5136
3226,H. R. 6513,Posey,Republican,Florida,Yea,https://clerk.house.gov/Members/P000599,Bill Posey, (202) 225-3671
86,H. R. 6513,Armstrong,Republican,North Dakota,Yea,https://clerk.house.gov/Members/A000377,Kelly Armstrong, (202) 225-2611
966,H. R. 6513,De La Cruz,Republican,Texas,Yea,https://clerk.house.gov/Members/D000594,Monica De La Cruz, (202) 225-9901
46,H. R. 6513,Allen,Republican,Georgia,Yea,https://clerk.house.gov/Members/A000372,Rick W. Allen, (202) 225-2823
4266,H. R. 6513,Wilson (FL),Democratic,Florida,Yea,https://clerk.house.gov/Members/W000808,Frederica S. Wilson, (202) 225-4506
906,H. R. 6513,Curtis,Republican,Utah,Yea,https://clerk.house.gov/Members/C001114,John R. Curtis, (202) 225-7751
3116,H. R. 6513,Peltola,Democratic,Alaska,Yea,https://clerk.house.gov/Members/P000619,Mary Sattler Peltola, (202) 225-5765
856,H. R. 6513,Crawford,Republican,Arkansas,Yea,https://clerk.house.gov/Members/C001087,"Eric A. ""Rick"" Crawford", (202) 225-4076
3186,H. R. 6513,Phillips,Democratic,Minnesota,Yea,https://clerk.house.gov/Members/P000616,Dean Phillips, (202) 225-2871
1966,H. R. 6513,Johnson (GA),Democratic,Georgia,Yea,https://clerk.house.gov/Members/J000288,"Henry C. ""Hank"" Johnson, Jr.", (202) 225-1605
3346,H. R. 6513,Rouzer,Republican,North Carolina,Yea,https://clerk.house.gov/Members/R000603,David Rouzer, (202) 225-2731
3086,H. R. 6513,Panetta,Democratic,California,Yea,https://clerk.house.gov/Members/P000613,Jimmy Panetta, (202) 225-2861
3106,H. R. 6513,Pelosi,Democratic,California,Yea,https://clerk.house.gov/Members/P000197,Nancy Pelosi, (202) 225-4965
836,H. R. 6513,Craig,Democratic,Minnesota,Yea,https://clerk.house.gov/Members/C001119,Angie Craig, (202) 225-2271
16,H. R. 6513,Aderholt,Republican,Alabama,Yea,https://clerk.house.gov/Members/A000055,Robert B. Aderholt, (202) 225-4876
816,H. R. 6513,Costa,Democratic,California,Yea,https://clerk.house.gov/Members/C001059,Jim Costa, (202) 225-3341
1016,H. R. 6513,Deluzio,Democratic,Pennsylvania,Yea,https://clerk.house.gov/Members/D000530,Christopher R. Deluzio, (202) 225-2301
1026,H. R. 6513,DeSaulnier,Democratic,California,Yea,https://clerk.house.gov/Members/D000623,Mark DeSaulnier, (202) 225-2095
2086,H. R. 6513,Kelly (PA),Republican,Pennsylvania,Yea,https://clerk.house.gov/Members/K000376,Mike Kelly, (202) 225-5406
3316,H. R. 6513,Rose,Republican,Tennessee,Yea,https://clerk.house.gov/Members/R000612,John W. Rose, (202) 225-4231
4156,H. R. 6513,Waters,Democratic,California,Yea,https://clerk.house.gov/Members/W000187,Maxine Waters, (202) 225-2201
3296,H. R. 6513,Rogers (AL),Republican,Alabama,Not Voting,https://clerk.house.gov/Members/R000575,Mike Rogers, (202) 225-3261
136,H. R. 6513,Baird,Republican,Indiana,Yea,https://clerk.house.gov/Members/B001307,James R. Baird, (202) 225-5037
4146,H. R. 6513,Wasserman Schultz,Democratic,Florida,Yea,https://clerk.house.gov/Members/W000797,Debbie Wasserman Schultz, (202) 225-7931
3336,H. R. 6513,Ross,Democratic,North Carolina,Yea,https://clerk.house.gov/Members/R000305,Deborah K. Ross, (202) 225-3032
3096,H. R. 6513,Pappas,Democratic,New Hampshire,Yea,https://clerk.house.gov/Members/P000614,Chris Pappas, (202) 225-5456
3326,H. R. 6513,Rosendale,Republican,Montana,Nay,https://clerk.house.gov/Members/R000103,"Matthew M. Rosendale, Sr.", (202) 225-3211
826,H. R. 6513,Courtney,Democratic,Connecticut,Yea,https://clerk.house.gov/Members/C001069,Joe Courtney, (202) 225-2076
146,H. R. 6513,Balderson,Republican,Ohio,Yea,https://clerk.house.gov/Members/B001306,Troy Balderson, (202) 225-5355
6,H. R. 6513,Adams,Democratic,North Carolina,Yea,https://clerk.house.gov/Members/A000370,Alma S. Adams, (202) 225-1510
4306,H. R. 6513,Yakym,Republican,Indiana,Yea,https://clerk.house.gov/Members/Y000067,Rudy Yakym III, (202) 225-3915
1006,H. R. 6513,DelBene,Democratic,Washington,Yea,https://clerk.house.gov/Members/D000617,Suzan K. DelBene, (202) 225-6311
3306,H. R. 6513,Rogers (KY),Republican,Kentucky,Yea,https://clerk.house.gov/Members/R000395,Harold Rogers, (202) 225-4601
3076,H. R. 6513,Palmer,Republican,Alabama,Yea,https://clerk.house.gov/Members/P000609,Gary J. Palmer, (202) 225-4921
126,H. R. 6513,Bacon,Republican,Nebraska,Not Voting,https://clerk.house.gov/Members/B001298,Don Bacon, (202) 225-4155
4316,H. R. 6513,Zinke,Republican,Montana,Yea,https://clerk.house.gov/Members/Z000018,Ryan K. Zinke, (202) 225-5628
4136,H. R. 6513,Waltz,Republican,Florida,Yea,https://clerk.house.gov/Members/W000823,Michael Waltz, (202) 225-2706
846,H. R. 6513,Crane,Republican,Arizona,Yea,https://clerk.house.gov/Members/C001132,Elijah Crane, (202) 225-3361
4166,H. R. 6513,Watson Coleman,Democratic,New Jersey,Yea,https://clerk.house.gov/Members/W000822,Bonnie Watson Coleman, (202) 225-5801
4296,H. R. 6513,Womack,Republican,Arkansas,Yea,https://clerk.house.gov/Members/W000809,Steve Womack, (202) 225-4301
4176,H. R. 6513,Weber (TX),Republican,Texas,Not Voting,https://clerk.house.gov/Members/W000814,"Randy K. Weber, Sr.", (202) 225-2831
1946,H. R. 6513,Jayapal,Democratic,Washington,Not Voting,https://clerk.house.gov/Members/J000298,Pramila Jayapal, (202) 225-3106
3356,H. R. 6513,Roy,Republican,Texas,Yea,https://clerk.house.gov/Members/R000614,Chip Roy, (202) 225-4236
806,H. R. 6513,Correa,Democratic,California,Yea,https://clerk.house.gov/Members/C001110,J. Luis Correa, (202) 225-2965
2258,H. R. 7073,Langworthy,Republican,New York,Yea,https://clerk.house.gov/Members/L000600,Nicholas A. Langworthy, (202) 225-3161
4248,H. R. 7073,Williams (NY),Republican,New York,Yea,https://clerk.house.gov/Members/W000828,Brandon Williams, (202) 225-3701
1748,H. R. 7073,Higgins (LA),Republican,Louisiana,Yea,https://clerk.house.gov/Members/H001077,Clay Higgins, (202) 225-2031
4308,H. R. 7073,Yakym,Republican,Indiana,Yea,https://clerk.house.gov/Members/Y000067,Rudy Yakym III, (202) 225-3915
3938,H. R. 7073,Titus,Democratic,Nevada,Yea,https://clerk.house.gov/Members/T000468,Dina Titus, (202) 225-5965
1468,H. R. 7073,"Garcia, Robert",Democratic,California,Nay,https://clerk.house.gov/Members/G000598,Robert Garcia, (202) 225-7924
2548,H. R. 7073,Massie,Republican,Kentucky,Nay,https://clerk.house.gov/Members/M001184,Thomas Massie, (202) 225-3465
1718,H. R. 7073,Harshbarger,Republican,Tennessee,Yea,https://clerk.house.gov/Members/H001086,Diana Harshbarger, (202) 225-6356
3918,H. R. 7073,Tiffany,Republican,Wisconsin,Yea,https://clerk.house.gov/Members/T000165,Thomas P. Tiffany, (202) 225-3365
3838,H. R. 7073,Swalwell,Democratic,California,Yea,https://clerk.house.gov/Members/S001193,Eric Swalwell, (202) 225-5065
328,H. R. 7073,Boebert,Republican,Colorado,Yea,https://clerk.house.gov/Members/B000825,Lauren Boebert, (202) 225-4761
318,H. R. 7073,Blunt Rochester,Democratic,Delaware,Yea,https://clerk.house.gov/Members/B001303,Lisa Blunt Rochester, (202) 225-4165
48,H. R. 7073,Allen,Republican,Georgia,Yea,https://clerk.house.gov/Members/A000372,Rick W. Allen, (202) 225-2823
2478,H. R. 7073,Lynch,Democratic,Massachusetts,Yea,https://clerk.house.gov/Members/L000562,Stephen F. Lynch, (202) 225-8273
4258,H. R. 7073,Williams (TX),Republican,Texas,Yea,https://clerk.house.gov/Members/W000816,Roger Williams, (202) 225-9896
1778,H. R. 7073,Hinson,Republican,Iowa,Yea,https://clerk.house.gov/Members/H001091,Ashley Hinson, (202) 225-2911
58,H. R. 7073,Allred,Democratic,Texas,Yea,https://clerk.house.gov/Members/A000376,Colin Z. Allred, (202) 225-2231
2488,H. R. 7073,Mace,Republican,South Carolina,Yea,https://clerk.house.gov/Members/M000194,Nancy Mace, (202) 225-3176
398,H. R. 7073,Brownley,Democratic,California,Yea,https://clerk.house.gov/Members/B001285,Julia Brownley, (202) 225-5811
408,H. R. 7073,Buchanan,Republican,Florida,Yea,https://clerk.house.gov/Members/B001260,Vern Buchanan, (202) 225-5015
3828,H. R. 7073,Suozzi,Democratic,New York,Yea,https://clerk.house.gov/Members/S001201,Thomas R. Suozzi, (202) 225-3335
3928,H. R. 7073,Timmons,Republican,South Carolina,Yea,https://clerk.house.gov/Members/T000480,William R. Timmons IV, (202) 225-6030
1528,H. R. 7073,"Gonzalez, V.",Democratic,Texas,Yea,https://clerk.house.gov/Members/G000581,Vicente Gonzalez, (202) 225-2531
8,H. R. 7073,Adams,Democratic,North Carolina,Yea,https://clerk.house.gov/Members/A000370,Alma S. Adams, (202) 225-1510
3868,H. R. 7073,Tenney,Republican,New York,Yea,https://clerk.house.gov/Members/T000478,Claudia Tenney, (202) 225-3665
4268,H. R. 7073,Wilson (FL),Democratic,Florida,Yea,https://clerk.house.gov/Members/W000808,Frederica S. Wilson, (202) 225-4506
338,H. R. 7073,Bonamici,Democratic,Oregon,Yea,https://clerk.house.gov/Members/B001278,Suzanne Bonamici, (202) 225-0855
3888,H. R. 7073,Thompson (CA),Democratic,California,Yea,https://clerk.house.gov/Members/T000460,Mike Thompson, (202) 225-3311
378,H. R. 7073,Brecheen,Republican,Oklahoma,Nay,https://clerk.house.gov/Members/B001317,Josh Brecheen, (202) 225-2701
1728,H. R. 7073,Hayes,Democratic,Connecticut,Yea,https://clerk.house.gov/Members/H001081,Jahana Hayes, (202) 225-4476
28,H. R. 7073,Aguilar,Democratic,California,Yea,https://clerk.house.gov/Members/A000371,Pete Aguilar, (202) 225-3201
1488,H. R. 7073,Golden (ME),Democratic,Maine,Yea,https://clerk.house.gov/Members/G000592,Jared F. Golden, (202) 225-6306
2018,H. R. 7073,Joyce (PA),Republican,Pennsylvania,Yea,https://clerk.house.gov/Members/J000302,John Joyce, (202) 225-2431
18,H. R. 7073,Aderholt,Republican,Alabama,Yea,https://clerk.house.gov/Members/A000055,Robert B. Aderholt, (202) 225-4876
1738,H. R. 7073,Hern,Republican,Oklahoma,Yea,https://clerk.house.gov/Members/H001082,Kevin Hern, (202) 225-2211
2518,H. R. 7073,Maloy,Republican,Utah,Yea,https://clerk.house.gov/Members/M001228,Celeste Maloy, (202) 225-9730
1498,H. R. 7073,Goldman (NY),Democratic,New York,Yea,https://clerk.house.gov/Members/G000599,Daniel S. Goldman, (202) 225-7944
1958,H. R. 7073,Jeffries,Democratic,New York,Yea,https://clerk.house.gov/Members/J000294,Hakeem S. Jeffries, (202) 225-5936
2238,H. R. 7073,Lamborn,Republican,Colorado,Yea,https://clerk.house.gov/Members/L000564,Doug Lamborn, (202) 225-4422
3878,H. R. 7073,Thanedar,Democratic,Michigan,Yea,https://clerk.house.gov/Members/T000488,Shri Thanedar, (202) 225-5802
368,H. R. 7073,Boyle (PA),Democratic,Pennsylvania,Yea,https://clerk.house.gov/Members/B001296,Brendan F. Boyle, (202) 225-6111
2528,H. R. 7073,Mann,Republican,Kansas,Yea,https://clerk.house.gov/Members/M000871,Tracey Mann, (202) 225-2715
4288,H. R. 7073,Wittman,Republican,Virginia,Yea,https://clerk.house.gov/Members/W000804,Robert J. Wittman, (202) 225-4261
2178,H. R. 7073,Krishnamoorthi,Democratic,Illinois,Yea,https://clerk.house.gov/Members/K000391,Raja Krishnamoorthi, (202) 225-3711
1478,H. R. 7073,Gimenez,Republican,Florida,Yea,https://clerk.house.gov/Members/G000593,Carlos A. Gimenez, (202) 225-2778
358,H. R. 7073,Bowman,Democratic,New York,Not Voting,https://clerk.house.gov/Members/B001223,Jamaal Bowman, (202) 225-2464
4298,H. R. 7073,Womack,Republican,Arkansas,Yea,https://clerk.house.gov/Members/W000809,Steve Womack, (202) 225-4301
1518,H. R. 7073,"Gonzales, Tony",Republican,Texas,Yea,https://clerk.house.gov/Members/G000594,Tony Gonzales, (202) 225-4511
2498,H. R. 7073,Magaziner,Democratic,Rhode Island,Yea,https://clerk.house.gov/Members/M001223,Seth Magaziner, (202) 225-2735
3908,H. R. 7073,Thompson (PA),Republican,Pennsylvania,Yea,https://clerk.house.gov/Members/T000467,Glenn Thompson, (202) 225-5121
38,H. R. 7073,Alford,Republican,Missouri,Yea,https://clerk.house.gov/Members/A000379,Mark Alford, (202) 225-2876
3848,H. R. 7073,Sykes,Democratic,Ohio,Yea,https://clerk.house.gov/Members/S001223,Emilia Strong Sykes, (202) 225-6265
1968,H. R. 7073,Johnson (GA),Democratic,Georgia,Yea,https://clerk.house.gov/Members/J000288,"Henry C. ""Hank"" Johnson, Jr.", (202) 225-1605
348,H. R. 7073,Bost,Republican,Illinois,Yea,https://clerk.house.gov/Members/B001295,Mike Bost, (202) 225-5661
1918,H. R. 7073,Jackson (TX),Republican,Texas,Yea,https://clerk.house.gov/Members/J000304,Ronny Jackson, (202) 225-3706
2228,H. R. 7073,LaMalfa,Republican,California,Yea,https://clerk.house.gov/Members/L000578,Doug LaMalfa, (202) 225-3076
2538,H. R. 7073,Manning,Democratic,North Carolina,Yea,https://clerk.house.gov/Members/M001135,Kathy E. Manning, (202) 225-3065
3898,H. R. 7073,Thompson (MS),Democratic,Mississippi,Yea,https://clerk.house.gov/Members/T000193,Bennie G. Thompson, (202) 225-5876
2508,H. R. 7073,Malliotakis,Republican,New York,Not Voting,https://clerk.house.gov/Members/M000317,Nicole Malliotakis, (202) 225-3371
1508,H. R. 7073,Gomez,Democratic,California,Yea,https://clerk.house.gov/Members/G000585,Jimmy Gomez, (202) 225-6235
2248,H. R. 7073,Landsman,Democratic,Ohio,Yea,https://clerk.house.gov/Members/L000601,Greg Landsman, (202) 225-2216
4278,H. R. 7073,Wilson (SC),Republican,South Carolina,Yea,https://clerk.house.gov/Members/W000795,Joe Wilson, (202) 225-2452
3858,H. R. 7073,Takano,Democratic,California,Nay,https://clerk.house.gov/Members/T000472,Mark Takano, (202) 225-2305
388,H. R. 7073,Brown,Democratic,Ohio,Yea,https://clerk.house.gov/Members/B001313,Shontel M. Brown, (202) 225-7032
158,H. R. 7073,Balint,Democratic,Vermont,Yea,https://clerk.house.gov/Members/B001318,Becca Balint, (202) 225-4115
3978,H. R. 7073,Torres (CA),Democratic,California,Yea,https://clerk.house.gov/Members/T000474,Norma J. Torres, (202) 225-6161
1708,H. R. 7073,Harris,Republican,Maryland,Nay,https://clerk.house.gov/Members/H001052,Andy Harris, (202) 225-5311
1768,H. R. 7073,Himes,Democratic,Connecticut,Yea,https://clerk.house.gov/Members/H001047,James A. Himes, (202) 225-5541
198,H. R. 7073,Bean (FL),Republican,Florida,Nay,https://clerk.house.gov/Members/B001314,Aaron Bean, (202) 225-0123
128,H. R. 7073,Bacon,Republican,Nebraska,Yea,https://clerk.house.gov/Members/B001298,Don Bacon, (202) 225-4155
4078,H. R. 7073,Vargas,Democratic,California,Yea,https://clerk.house.gov/Members/V000130,Juan Vargas, (202) 225-8045
2388,H. R. 7073,Levin,Democratic,California,Yea,https://clerk.house.gov/Members/L000593,Mike Levin, (202) 225-3906
4168,H. R. 7073,Watson Coleman,Democratic,New Jersey,Yea,https://clerk.house.gov/Members/W000822,Bonnie Watson Coleman, (202) 225-5801
2558,H. R. 7073,Mast,Republican,Florida,Yea,https://clerk.house.gov/Members/M001199,Brian J. Mast, (202) 225-3026
208,H. R. 7073,Beatty,Democratic,Ohio,Yea,https://clerk.house.gov/Members/B001281,Joyce Beatty, (202) 225-4324
2318,H. R. 7073,Lee (CA),Democratic,California,Nay,https://clerk.house.gov/Members/L000551,Barbara Lee, (202) 225-2661
4068,H. R. 7073,Van Orden,Republican,Wisconsin,Yea,https://clerk.house.gov/Members/V000135,Derrick Van Orden, (202) 225-5506
4158,H. R. 7073,Waters,Democratic,California,Nay,https://clerk.house.gov/Members/W000187,Maxine Waters, (202) 225-2201
1668,H. R. 7073,Guest,Republican,Mississippi,Yea,https://clerk.house.gov/Members/G000591,Michael Guest, (202) 225-5031
4058,H. R. 7073,Van Duyne,Republican,Texas,Yea,https://clerk.house.gov/Members/V000134,Beth Van Duyne, (202) 225-6605
4178,H. R. 7073,Weber (TX),Republican,Texas,Yea,https://clerk.house.gov/Members/W000814,"Randy K. Weber, Sr.", (202) 225-2831
2398,H. R. 7073,Lieu,Democratic,California,Yea,https://clerk.house.gov/Members/L000582,Ted Lieu, (202) 225-3976
218,H. R. 7073,Bentz,Republican,Oregon,Yea,https://clerk.house.gov/Members/B000668,Cliff Bentz, (202) 225-6730
1598,H. R. 7073,Graves (MO),Republican,Missouri,Yea,https://clerk.house.gov/Members/G000546,Sam Graves, (202) 225-7041
4188,H. R. 7073,Webster (FL),Republican,Florida,Yea,https://clerk.house.gov/Members/W000806,Daniel Webster, (202) 225-1002
4048,H. R. 7073,Van Drew,Republican,New Jersey,Yea,https://clerk.house.gov/Members/V000133,Jefferson Van Drew, (202) 225-6572
108,H. R. 7073,Auchincloss,Democratic,Massachusetts,Yea,https://clerk.house.gov/Members/A000148,Jake Auchincloss, (202) 225-5931
2308,H. R. 7073,Lawler,Republican,New York,Yea,https://clerk.house.gov/Members/L000599,Michael Lawler, (202) 225-6506
228,H. R. 7073,Bera,Democratic,California,Yea,https://clerk.house.gov/Members/B001287,Ami Bera, (202) 225-5716
118,H. R. 7073,Babin,Republican,Texas,Yea,https://clerk.house.gov/Members/B001291,Brian Babin, (202) 225-1555
2328,H. R. 7073,Lee (FL),Republican,Florida,Yea,https://clerk.house.gov/Members/L000597,Laurel M. Lee, (202) 225-5626
2378,H. R. 7073,Letlow,Republican,Louisiana,Yea,https://clerk.house.gov/Members/L000595,Julia Letlow, (202) 225-8490
1618,H. R. 7073,"Green, Al (TX)",Democratic,Texas,Yea,https://clerk.house.gov/Members/G000553,Al Green, (202) 225-7508
4128,H. R. 7073,Walberg,Republican,Michigan,Yea,https://clerk.house.gov/Members/W000798,Tim Walberg, (202) 225-6276
2348,H. R. 7073,Lee (PA),Democratic,Pennsylvania,Nay,https://clerk.house.gov/Members/L000602,Summer L. Lee, (202) 225-2135
1648,H. R. 7073,Grijalva,Democratic,Arizona,Not Voting,https://clerk.house.gov/Members/G000551,Raúl M. Grijalva, (202) 225-2435
1988,H. R. 7073,Johnson (SD),Republican,South Dakota,Yea,https://clerk.house.gov/Members/J000301,Dusty Johnson, (202) 225-2801
1638,H. R. 7073,Griffith,Republican,Virginia,Yea,https://clerk.house.gov/Members/G000568,H. Morgan Griffith, (202) 225-3861
4138,H. R. 7073,Waltz,Republican,Florida,Yea,https://clerk.house.gov/Members/W000823,Michael Waltz, (202) 225-2706
4118,H. R. 7073,Wagner,Republican,Missouri,Yea,https://clerk.house.gov/Members/W000812,Ann Wagner, (202) 225-1621
2338,H. R. 7073,Lee (NV),Democratic,Nevada,Yea,https://clerk.house.gov/Members/L000590,Susie Lee, (202) 225-3252
168,H. R. 7073,Banks,Republican,Indiana,Yea,https://clerk.house.gov/Members/B001299,Jim Banks, (202) 225-4436
2358,H. R. 7073,Leger Fernandez,Democratic,New Mexico,Yea,https://clerk.house.gov/Members/L000273,Teresa Leger Fernandez, (202) 225-6190
148,H. R. 7073,Balderson,Republican,Ohio,Yea,https://clerk.house.gov/Members/B001306,Troy Balderson, (202) 225-5355
4108,H. R. 7073,Velázquez,Democratic,New York,Nay,https://clerk.house.gov/Members/V000081,Nydia M. Velázquez, (202) 225-2361
1628,H. R. 7073,Greene (GA),Republican,Georgia,Not Voting,https://clerk.house.gov/Members/G000596,Marjorie Taylor Greene, (202) 225-5211
178,H. R. 7073,Barr,Republican,Kentucky,Not Voting,https://clerk.house.gov/Members/B001282,Andy Barr, (202) 225-4706
4148,H. R. 7073,Wasserman Schultz,Democratic,Florida,Yea,https://clerk.house.gov/Members/W000797,Debbie Wasserman Schultz, (202) 225-7931
4098,H. R. 7073,Veasey,Democratic,Texas,Yea,https://clerk.house.gov/Members/V000131,Marc A. Veasey, (202) 225-9897
2368,H. R. 7073,Lesko,Republican,Arizona,Yea,https://clerk.house.gov/Members/L000589,Debbie Lesko, (202) 225-4576
138,H. R. 7073,Baird,Republican,Indiana,Yea,https://clerk.house.gov/Members/B001307,James R. Baird, (202) 225-5037
2198,H. R. 7073,Kustoff,Republican,Tennessee,Yea,https://clerk.house.gov/Members/K000392,David Kustoff, (202) 225-4714
188,H. R. 7073,Barragán,Democratic,California,Nay,https://clerk.house.gov/Members/B001300,Nanette Diaz Barragán, (202) 225-8220
1938,H. R. 7073,James,Republican,Michigan,Yea,https://clerk.house.gov/Members/J000307,John James, (202) 225-4961
1658,H. R. 7073,Grothman,Republican,Wisconsin,Nay,https://clerk.house.gov/Members/G000576,Glenn Grothman, (202) 225-2476
4088,H. R. 7073,Vasquez,Democratic,New Mexico,Yea,https://clerk.house.gov/Members/V000136,Gabe Vasquez, (202) 225-2365
4038,H. R. 7073,Valadao,Republican,California,Yea,https://clerk.house.gov/Members/V000129,David G. Valadao, (202) 225-4695
2268,H. R. 7073,Larsen (WA),Democratic,Washington,Yea,https://clerk.house.gov/Members/L000560,Rick Larsen, (202) 225-2605
2408,H. R. 7073,Lofgren,Democratic,California,Yea,https://clerk.house.gov/Members/L000397,Zoe Lofgren, (202) 225-3072
1678,H. R. 7073,Guthrie,Republican,Kentucky,Yea,https://clerk.house.gov/Members/G000558,Brett Guthrie, (202) 225-3501
2448,H. R. 7073,Luetkemeyer,Republican,Missouri,Not Voting,https://clerk.house.gov/Members/L000569,Blaine Luetkemeyer, (202) 225-2956
1558,H. R. 7073,Gosar,Republican,Arizona,Nay,https://clerk.house.gov/Members/G000565,Paul A. Gosar, (202) 225-2315
4218,H. R. 7073,Wexton,Democratic,Virginia,Not Voting,https://clerk.house.gov/Members/W000825,Jennifer Wexton, (202) 225-5136
